No.,Pokémon,Entry,Bucket,Weight,Lv. Min,Lv. Max,Biomes,Excluded Biomes,Time,Weather,Multipliers,Context,Presets,Conditions,Anticonditions,skyLightMin,skyLightMax,canSeeSky,Patternkey=Value
0010,Caterpie,1,common,7,1,20,"Forest, Plains, Skyroot Forest, Skyroot Woodland","Freezing, Spooky",any,any,,grounded,"Natural, Foliage, Treetop",,,8,15,,
0010,Caterpie [Valencian],2,common,7,1,20,"Jungle, Tropical Island",,any,any,,grounded,"Natural, Treetop",,,8,15,,
0010,Caterpie [Valencian],3,common,4.5,1,20,Floral Meadow,,any,any,,grounded,,,structure:#the_bumblezone:sempiternal_sanctums,,,any,
0011,Metapod,1,common,2,7,21,"Forest, Plains, Skyroot Forest, Skyroot Woodland","Freezing, Spooky",any,any,,grounded,"Natural, Foliage, Treetop",,,8,15,,
0011,Metapod [Valencian],2,common,2,7,21,"Jungle, Tropical Island",,any,any,,grounded,"Natural, Treetop",,,8,15,,
0011,Metapod [Valencian],3,common,1,7,21,Floral Meadow,,any,any,,grounded,,,structure:#the_bumblezone:sempiternal_sanctums,,,any,
0012,Butterfree,1,common,1,10,40,Temperate,"Floral, Freezing, Spooky",day,any,,grounded,Natural,,,8,15,,
0012,Butterfree,2,common,10,10,40,Floral,,day,any,,grounded,Natural,,,8,15,,
0012,Butterfree,3,common,1,10,40,Aether,,any,any,,grounded,Natural,,,8,15,,
0012,Butterfree [Valencian],4,common,1,10,40,"Jungle, Tropical Island",,day,any,,grounded,Natural,,,8,15,,
0012,Butterfree [Valencian],5,common,5,10,40,Floral Meadow,,any,any,,grounded,,,structure:#the_bumblezone:sempiternal_sanctums,,,any,
0013,Weedle,1,common,7,1,20,"Forest, Jungle, Skyroot Forest, Skyroot Woodland",Freezing,any,any,,grounded,"Natural, Treetop",,,8,15,,
0013,Weedle,2,common,3,1,20,Bumblezone,,any,any,,grounded,,,structure:#the_bumblezone:sempiternal_sanctums,,,any,
0014,Kakuna,1,common,2,7,21,"Forest, Jungle, Skyroot Forest, Skyroot Woodland",Freezing,any,any,,grounded,"Natural, Treetop",,,8,15,,
0014,Kakuna,2,common,2,7,21,Bumblezone,,any,any,,grounded,,,structure:#the_bumblezone:sempiternal_sanctums,,,any,
0015,Beedrill,1,common,1,10,40,"Forest, Jungle, Skyroot Forest, Skyroot Woodland",Freezing,day,clear,,grounded,Natural,,,8,15,,
0015,Beedrill,2,common,5,10,40,Bumblezone,,any,any,,grounded,,,structure:#the_bumblezone:sempiternal_sanctums,,,any,
0016,Pidgey,1,common,9,1,25,"Temperate, Sky",Spooky,day,any,,grounded,"Natural, Treetop",,,8,15,,
0016,Pidgey,3,common,9,1,25,"Skyroot Forest, Skyroot Woodland",,any,any,,grounded,"Natural, Treetop",,,8,15,,
0017,Pidgeotto,1,common,0.9,18,35,"Temperate, Sky",Spooky,day,any,,grounded,"Natural, Treetop",,,8,15,,
0017,Pidgeotto,3,common,0.9,18,35,"Skyroot Forest, Skyroot Woodland",,any,any,,grounded,"Natural, Treetop",,,8,15,,
0018,Pidgeot,1,common,0.1,36,48,"Temperate, Sky",Spooky,day,any,,grounded,"Natural, Treetop",,,8,15,,
0018,Pidgeot,3,common,0.1,36,48,"Skyroot Forest, Skyroot Woodland",,any,any,,grounded,"Natural, Treetop",,,8,15,,
0019,Rattata,1,common,9,1,25,Grassland,Spooky,night,any,,grounded,Natural,,,8,15,,
0019,Rattata,2,common,9,1,25,Overworld,Deep Dark,any,any,,grounded,Natural,minY = 0,,0,7,,
0019,Rattata,3,uncommon,8.4,1,25,Overworld,Deep Dark,any,any,,grounded,Derelict,minY = 0,,,,FALSE,
0019,Rattata [Alolan],4,common,9,1,25,Overworld,Deep Dark,any,any,,grounded,Natural,maxY = 0,,0,7,,
0019,Rattata [Alolan],5,uncommon,8.4,1,25,Overworld,Deep Dark,any,any,,grounded,Derelict,maxY = 0,,,,FALSE,
0019,Rattata [Alolan],6,common,9,1,25,Spooky,,night,any,,grounded,Natural,,,8,15,,
0019,Rattata [Alolan],7,uncommon,8.4,1,25,Spooky,Deep Dark,any,any,,grounded,Derelict,,,,,FALSE,
0020,Raticate,1,common,1,20,41,Grassland,Spooky,night,any,,grounded,Natural,,,8,15,,
0020,Raticate,2,common,1,20,41,Overworld,Deep Dark,any,any,,grounded,Natural,minY = 0,,0,7,,
0020,Raticate,3,uncommon,1.6,20,41,Overworld,Deep Dark,any,any,,grounded,Derelict,minY = 0,,,,FALSE,
0020,Raticate [Alolan],4,common,1,20,41,Overworld,Deep Dark,any,any,,grounded,Natural,maxY = 0,,0,7,,
0020,Raticate [Alolan],5,uncommon,1.6,20,41,Overworld,Deep Dark,any,any,,grounded,Derelict,maxY = 0,,,,FALSE,
0020,Raticate [Alolan],6,common,1,20,41,Spooky,,night,any,,grounded,Natural,,,8,15,,
0020,Raticate [Alolan],7,uncommon,1.6,20,41,Spooky,Deep Dark,any,any,,grounded,Derelict,,,,,FALSE,
0021,Spearow,1,common,9,1,26,"Badlands, Savanna, Sky",,day,any,,grounded,"Natural, Treetop",,,8,15,,
0022,Fearow,1,common,1,20,44,"Badlands, Savanna, Sky",,day,any,,grounded,"Natural, Treetop",,,8,15,,
0023,Ekans,1,common,4.05,4,29,Arid,,any,any,,grounded,Natural,,,8,15,,snake_pattern=classic
0023,Ekans,2,common,0.27,4,29,Arid,,any,any,,grounded,Natural,,,8,15,,"snake_pattern=legacy, attack, speed, elusive, sound"
0023,Ekans,3,common,5.4,4,29,Nether Desert,,any,any,,grounded,Natural,,,,,any,snake_pattern=dark
0024,Arbok,1,common,0.45,22,45,Arid,,any,any,,grounded,Natural,,,8,15,,snake_pattern=classic
0024,Arbok,2,common,0.03,22,45,Arid,,any,any,,grounded,Natural,,,8,15,,"snake_pattern=legacy, attack, speed, elusive, sound"
0024,Arbok,3,common,0.6,22,45,Nether Desert,,any,any,,grounded,Natural,,,,,any,snake_pattern=dark
0025,Pikachu,1,uncommon,0.712,16,32,Forest,Spooky,any,any,Storm x5,grounded,Natural,,,8,15,,
0025,Pikachu,2,uncommon,0.304,16,32,"Beach, Skyroot Forest, Skyroot Woodland, Tropical Island",Freezing,any,any,Storm x5,grounded,Natural,,,8,15,,region_bias=alola
0026,Raichu,1,uncommon,0.048,27,49,Forest,Spooky,any,any,Storm x5,grounded,Natural,,,8,15,,
0026,Raichu [Alolan],2,uncommon,0.016,27,49,"Beach, Skyroot Forest, Skyroot Woodland, Tropical Island",Freezing,any,any,Storm x5,grounded,Natural,,,8,15,,
0027,Sandshrew,1,common,9,5,30,Arid,,any,any,,grounded,Natural,,,,,any,
0028,Sandslash,1,common,1,22,45,Arid,,any,any,,grounded,Natural,,,,,any,
0029,Nidoran♀,1,uncommon,8.4,3,28,Savanna,,any,any,,grounded,"Natural, Wild",,,8,15,,
0030,Nidorina,1,uncommon,1.52,16,37,Savanna,,any,any,,grounded,"Natural, Wild",,,8,15,,
0031,Nidoqueen,1,uncommon,0.08,37,51,Savanna,,any,any,,grounded,"Natural, Wild",,,8,15,,
0032,Nidoran♂,1,uncommon,8.4,3,28,Savanna,,any,any,,grounded,"Natural, Wild",,,8,15,,
0033,Nidorino,1,uncommon,1.52,16,37,Savanna,,any,any,,grounded,"Natural, Wild",,,8,15,,
0034,Nidoking,1,uncommon,0.08,37,51,Savanna,,any,any,,grounded,"Natural, Wild",,,8,15,,
0035,Clefairy,1,uncommon,1.52,17,32,Dripstone,,night,any,,grounded,Natural,,,8,15,,
0035,Clefairy,2,uncommon,1.52,17,32,"Aether, Dripstone",,any,any,,grounded,Natural,,,0,7,,
0035,Clefairy,3,uncommon,1.52,17,32,Hills,,night,any,,grounded,Natural,Full Moon,,8,15,,
0035,Clefairy,4,uncommon,1.52,17,32,Magical,Spooky,night,any,,grounded,Natural,,,8,15,,
0036,Clefable,1,uncommon,0.08,27,48,Dripstone,,night,any,,grounded,Natural,,,8,15,,
0036,Clefable,2,uncommon,0.08,27,48,"Aether, Dripstone",,any,any,,grounded,Natural,,,0,7,,
0036,Clefable,3,uncommon,0.08,27,48,Hills,,night,any,,grounded,Natural,Full Moon,,8,15,,
0036,Clefable,4,uncommon,0.08,27,48,Magical,Spooky,night,any,,grounded,Natural,,,8,15,,
0037,Vulpix,1,uncommon,5.52,5,30,"Forest, Taiga",Freezing,any,any,Twilight x2.5,grounded,Natural,,,8,15,,
0037,Vulpix,2,common,1.9,5,30,Nether Forest,Nether Frozen,any,any,,grounded,Natural,,,,,any,
0037,Vulpix [Alolan],3,uncommon,5.52,5,30,"Snowy Forest, Snowy Taiga",,any,any,Twilight x2.5,grounded,Natural,,,8,15,,
0037,Vulpix [Alolan],4,common,1.9,5,30,Nether Frozen,,any,any,,grounded,Natural,,,,,any,
0038,Ninetales,1,uncommon,0.48,25,51,"Forest, Taiga",Freezing,any,any,Twilight x2.5,grounded,Natural,,,8,15,,
0038,Ninetales,2,common,0.1,25,51,Nether Forest,Nether Frozen,any,any,,grounded,Natural,,,,,any,
0038,Ninetales [Alolan],3,uncommon,0.48,25,51,"Snowy Forest, Snowy Taiga",,any,any,Twilight x2.5,grounded,Natural,,,8,15,,
0038,Ninetales [Alolan],4,common,0.1,25,51,Nether Frozen,,any,any,,grounded,Natural,,,,,any,
0039,Jigglypuff,1,common,0.95,16,27,Floral,,any,any,Night x1.5,grounded,Natural,,,8,15,,
0039,Jigglypuff,2,common,0.19,16,27,Plains,Floral,any,any,Night x1.5,grounded,Natural,,,8,15,,
0039,Jigglypuff,3,common,0.95,16,27,"Skyroot Grove, Skyroot Meadow",,any,any,,grounded,Natural,,,8,15,,
0040,Wigglytuff,1,common,0.05,22,44,Floral,,any,any,Night x1.5,grounded,Natural,,,8,15,,
0040,Wigglytuff,2,common,0.01,22,44,Plains,Floral,any,any,Night x1.5,grounded,Natural,,,8,15,,
0040,Wigglytuff,3,common,0.05,22,44,"Skyroot Grove, Skyroot Meadow",,any,any,,grounded,Natural,,,8,15,,
0041,Zubat,1,common,1.8,1,25,"Forest, Swamp","Spooky, Freezing",night,clear,,grounded,Natural,,,8,15,,
0041,Zubat,3,common,1.8,1,25,"Forest, Swamp","Spooky, Freezing",any,any,Night x0.25,grounded,Natural,,,0,7,,
0041,Zubat,4,common,9,1,25,Overworld,"Deep Dark, Forest, Swamp",any,any,Day x1.5,grounded,Natural,,,0,7,,
0041,Zubat,5,uncommon,8.4,1,25,Overworld,"Deep Dark, Forest, Swamp",any,any,Day x1.5,grounded,Derelict,,,,,FALSE,
0041,Zubat,6,common,9,1,25,Spooky,,any,clear,Night x1.5,grounded,Natural,,,8,15,,
0041,Zubat,8,uncommon,8.4,1,25,Deep Dark,,any,any,,grounded,Natural,,,0,7,,
0041,Zubat,9,common,9,1,25,Aether,,any,any,,grounded,Natural,,,0,7,,
0042,Golbat,1,common,0.18,22,46,"Forest, Swamp","Spooky, Freezing",night,clear,,grounded,Natural,,,8,15,,
0042,Golbat,3,common,0.18,22,46,"Forest, Swamp","Spooky, Freezing",any,any,Night x0.25,grounded,Natural,,,0,7,,
0042,Golbat,4,common,0.9,22,46,Overworld,"Deep Dark, Forest, Swamp",any,any,Day x1.5,grounded,Natural,,,0,7,,
0042,Golbat,5,uncommon,1.52,22,46,Overworld,"Deep Dark, Forest, Swamp",any,any,Day x1.5,grounded,Derelict,,,,,FALSE,
0042,Golbat,6,common,0.9,22,46,Spooky,,any,clear,Night x1.5,grounded,Natural,,,8,15,,
0042,Golbat,8,uncommon,1.52,22,46,Deep Dark,,any,any,,grounded,Natural,,,0,7,,
0042,Golbat,9,common,0.9,22,46,Aether,,any,any,,grounded,Natural,,,0,7,,
0043,Oddish,1,common,9,7,32,Jungle,,any,any,Day x0.25,grounded,Natural,,,8,15,,
0043,Oddish,2,common,1.8,7,32,Temperate,,any,any,Day x0.25,grounded,Natural,,,8,15,,
0043,Oddish [Valencian],3,common,1.8,7,32,"Savanna, Tropical Island",,any,any,Day x0.25,grounded,Natural,,,8,15,,
0044,Gloom,1,common,0.95,21,40,Jungle,,any,any,Day x0.25,grounded,Natural,,,8,15,,
0044,Gloom,2,common,0.19,21,40,Temperate,,any,any,Day x0.25,grounded,Natural,,,8,15,,
0044,Gloom [Valencian],3,common,0.19,21,40,"Savanna, Tropical Island",,any,any,Day x0.25,grounded,Natural,,,8,15,,
0045,Vileplume,1,common,0.05,35,49,Jungle,,night,any,,grounded,Natural,,,8,15,,
0045,Vileplume,2,common,0.01,35,49,Temperate,,night,any,,grounded,Natural,,,8,15,,
0045,Vileplume [Valencian],3,common,0.01,35,49,"Savanna, Tropical Island",,night,any,,grounded,Natural,,,8,15,,
0046,Paras,1,uncommon,8.4,4,29,Lush,,any,any,,grounded,Natural,,"structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9",0,7,,
0046,Paras,2,common,9,4,29,Mushroom,,any,any,,grounded,Natural,,,,,any,
0046,Paras,3,common,9,4,29,Nether Fungus,Nether Warped,any,any,,grounded,Natural,,,,,any,
0046,Paras,4,uncommon,8.4,4,29,Overworld,Lush,any,any,,grounded,Natural,"structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9",,0,7,,
0047,Parasect,1,uncommon,1.6,24,41,Lush,,any,any,,grounded,Natural,,"structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9",0,7,,
0047,Parasect,2,common,1,24,41,Mushroom,,any,any,,grounded,Natural,,,,,any,
0047,Parasect,3,common,1,24,41,Nether Fungus,Nether Warped,any,any,,grounded,Natural,,,,,any,
0047,Parasect,4,uncommon,1.6,24,41,Overworld,Lush,any,any,,grounded,Natural,"structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9",,0,7,,
0048,Venonat,1,common,5.4,6,31,"Spooky, Swamp",,night,any,,grounded,Natural,,,8,15,,
0049,Venomoth,1,common,0.6,31,45,"Spooky, Swamp",,night,clear,,grounded,Natural,,,8,15,,
0050,Diglett,1,common,9,2,27,Overworld,Deep Dark,any,any,,grounded,Natural,minY = 0,,0,7,,
0050,Diglett [Alolan],2,common,9,2,27,Overworld,Deep Dark,any,any,,grounded,Natural,maxY = 0,,0,7,,
0051,Dugtrio,1,common,1,26,43,Overworld,Deep Dark,any,any,,grounded,Natural,minY = 0,,0,7,,
0051,Dugtrio [Alolan],2,common,1,26,43,Overworld,Deep Dark,any,any,,grounded,Natural,maxY = 0,,0,7,,
0052,Meowth,1,common,9,4,29,Overworld,"Arid, Freezing, Taiga",any,clear,Night x1.5,grounded,"Natural, Urban",,,8,15,,
0052,Meowth,2,common,9,4,29,Overworld,"Arid, Freezing, Taiga",any,clear,Night x1.5,grounded,Natural,structure:#minecraft:village,,8,15,,
0052,Meowth,3,common,9,4,29,Arid,,any,any,Night x1.5,grounded,"Natural, Urban",,,8,15,,
0052,Meowth,4,common,9,4,29,Arid,,any,any,Night x1.5,grounded,Natural,structure:#minecraft:village,,8,15,,
0052,Meowth [Alolan],5,common,54,4,29,Overworld,"Arid, Freezing",any,clear,Night x1.5,grounded,"Natural, Illager_Structures",,,8,15,,
0052,Meowth [Alolan],6,common,54,4,29,"Arid, Freezing",,any,any,Night x1.5,grounded,"Natural, Illager_Structures",,,8,15,,
0052,Meowth [Alolan],7,uncommon,50.4,4,29,Overworld,,any,any,,grounded,Illager_Structures,minY = 62,,,,FALSE,
0052,Meowth [Galarian],8,common,9,4,29,"Freezing, Taiga",,any,any,Night x1.5,grounded,"Natural, Urban",,,8,15,,
0052,Meowth [Galarian],9,common,9,4,29,"Freezing, Taiga",,any,any,Night x1.5,grounded,Natural,structure:#minecraft:village,,8,15,,
0053,Persian,1,common,1,28,44,Overworld,"Arid, Freezing, Taiga",any,clear,Night x1.5,grounded,"Natural, Urban",,,8,15,,
0053,Persian,2,common,1,28,44,Overworld,"Arid, Freezing, Taiga",any,clear,Night x1.5,grounded,Natural,structure:#minecraft:village,,8,15,,
0053,Persian,3,common,1,28,44,Arid,,any,any,Night x1.5,grounded,"Natural, Urban",,,8,15,,
0053,Persian,4,common,1,28,44,Arid,,any,any,Night x1.5,grounded,Natural,structure:#minecraft:village,,8,15,,
0053,Persian [Alolan],5,common,6,28,44,Overworld,"Arid, Freezing",any,clear,Night x1.5,grounded,"Natural, Illager_Structures",,,8,15,,
0053,Persian [Alolan],6,common,6,28,44,"Arid, Freezing",,any,any,Night x1.5,grounded,"Natural, Illager_Structures",,,8,15,,
0053,Persian [Alolan],7,uncommon,9.6,28,44,Overworld,,any,any,,grounded,Illager_Structures,minY = 62,,,,FALSE,
0054,Psyduck,1,common,5.4,7,32,Swamp,,any,any,,grounded,Natural,,,8,15,,
0054,Psyduck,2,common,5.4,7,32,"Forest, Freshwater, Grassland, Magical, Tropical Island","Freezing, Swamp",any,any,,grounded,Natural,minecraft:water,,8,15,,
0054,Psyduck,3,common,5.4,7,32,"Forest, Freshwater, Grassland, Magical, Tropical Island",Freezing,any,any,,submerged,Water,,,8,15,TRUE,
0054,Psyduck,4,common,1.8,7,32,"Forest, Freshwater, Grassland, Magical, Tropical Island",Freezing,any,any,"Lure2 x3, Lure3 x5",fishing,,,,8,15,TRUE,
0055,Golduck,1,common,0.6,33,50,Swamp,,any,any,,grounded,Natural,,,8,15,,
0055,Golduck,2,common,0.6,33,50,"Forest, Freshwater, Grassland, Magical, Tropical Island","Freezing, Swamp",any,any,,grounded,Natural,minecraft:water,,8,15,,
0055,Golduck,3,common,0.6,33,50,"Forest, Freshwater, Grassland, Magical, Tropical Island",Freezing,any,any,,submerged,Water,,,8,15,TRUE,
0055,Golduck,4,common,0.2,33,50,"Forest, Freshwater, Grassland, Magical, Tropical Island",Freezing,any,any,"Lure2 x3, Lure3 x5",fishing,,,,8,15,TRUE,
0056,Mankey,1,common,5.4,6,31,"Hills, Jungle",,any,any,,grounded,"Natural, Treetop",,,8,15,,
0057,Primeape,1,common,0.54,28,46,"Hills, Jungle",,any,any,,grounded,"Natural, Treetop",,,8,15,,
0058,Growlithe,1,uncommon,9.2,10,35,Overworld,Desert,any,any,,grounded,"Natural, Urban",,,8,15,,
0058,Growlithe,2,uncommon,9.2,10,35,Overworld,Desert,any,any,,grounded,Natural,structure:#minecraft:village,,8,15,,
0059,Arcanine,1,uncommon,0.8,30,56,Overworld,Desert,any,any,,grounded,"Natural, Urban",,,8,15,,
0059,Arcanine,2,uncommon,0.8,30,56,Overworld,Desert,any,any,,grounded,Natural,structure:#minecraft:village,,8,15,,
0060,Poliwag,1,common,9,5,30,Swamp,,any,rain,,grounded,Natural,,,8,15,,
0060,Poliwag,2,common,9,5,30,Swamp,,any,any,,submerged,Water,minecraft:lily_pad,,,,TRUE,
0060,Poliwag,3,common,5.4,5,30,"Freshwater, Hills, Jungle, Magical, Mushroom, Temperate","Freezing, Swamp",any,rain,,grounded,Natural,minecraft:water,,8,15,,
0060,Poliwag,4,common,5.4,5,30,"Freshwater, Hills, Jungle, Magical, Mushroom, Temperate","Freezing, Swamp",any,any,,submerged,Water,,,,,TRUE,
0060,Poliwag,5,common,1.8,5,30,Lush,,any,any,,grounded,Natural,,"structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9",0,7,,
0060,Poliwag,6,common,5.4,5,30,Lush,,any,any,,submerged,Water,,"structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9",0,7,,
0060,Poliwag,7,common,9,5,30,"Freshwater, Hills, Jungle, Magical, Mushroom, Temperate",Freezing,any,any,,fishing,,,,,,TRUE,
0060,Poliwag,8,common,9,5,30,Lush,,any,any,Lure0/1 x0.6,fishing,,,"structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9",0,7,,
0060,Poliwag,9,common,9,5,30,Swamp,,any,any,,submerged,Water,minecraft:lily_pad,,8,15,FALSE,
0060,Poliwag,10,common,5.4,5,30,"Freshwater, Hills, Jungle, Magical, Mushroom, Temperate","Freezing, Swamp",any,any,,submerged,Water,,,8,15,FALSE,
0060,Poliwag,11,common,9,5,30,"Freshwater, Hills, Jungle, Magical, Mushroom, Temperate",Freezing,any,any,,fishing,,,,8,15,FALSE,
0060,Poliwag,12,common,1.8,5,30,Overworld,Lush,any,any,,grounded,Natural,"structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9",,0,7,,
0060,Poliwag,13,common,5.4,5,30,Overworld,Lush,any,any,,submerged,Water,"structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9",,0,7,,
0060,Poliwag,14,common,9,5,30,Overworld,Lush,any,any,Lure0/1 x0.6,fishing,,"structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9",,0,7,,
0061,Poliwhirl,1,common,0.95,25,39,Swamp,,any,rain,,grounded,Natural,,,8,15,,
0061,Poliwhirl,2,common,0.95,25,39,Swamp,,any,any,,submerged,Water,minecraft:lily_pad,,,,TRUE,
0061,Poliwhirl,3,common,0.57,25,39,"Freshwater, Hills, Jungle, Magical, Mushroom, Temperate","Freezing, Swamp",any,rain,,grounded,Natural,minecraft:water,,8,15,,
0061,Poliwhirl,4,common,0.57,25,39,"Freshwater, Hills, Jungle, Magical, Mushroom, Temperate","Freezing, Swamp",any,any,,submerged,Water,,,,,TRUE,
0061,Poliwhirl,5,common,0.19,25,39,Lush,,any,any,,grounded,Natural,,"structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9",0,7,,
0061,Poliwhirl,6,common,0.57,25,39,Lush,,any,any,,submerged,Water,,"structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9",0,7,,
0061,Poliwhirl,7,common,0.95,25,39,"Freshwater, Hills, Jungle, Magical, Mushroom, Temperate",Freezing,any,any,,fishing,,,,,,TRUE,
0061,Poliwhirl,8,common,0.95,25,39,Lush,,any,any,Lure0/1 x0.6,fishing,,,"structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9",0,7,,
0061,Poliwhirl,9,common,0.95,25,39,Swamp,,any,any,,submerged,Water,minecraft:lily_pad,,8,15,FALSE,
0061,Poliwhirl,10,common,0.57,25,39,"Freshwater, Hills, Jungle, Magical, Mushroom, Temperate","Freezing, Swamp",any,any,,submerged,Water,,,8,15,FALSE,
0061,Poliwhirl,11,common,0.95,25,39,"Freshwater, Hills, Jungle, Magical, Mushroom, Temperate",Freezing,any,any,,fishing,,,,8,15,FALSE,
0061,Poliwhirl,12,common,0.19,25,39,Overworld,Lush,any,any,,grounded,Natural,"structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9",,0,7,,
0061,Poliwhirl,13,common,0.57,25,39,Overworld,Lush,any,any,,submerged,Water,"structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9",,0,7,,
0061,Poliwhirl,14,common,0.95,25,39,Overworld,Lush,any,any,Lure0/1 x0.6,fishing,,"structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9",,0,7,,
0062,Poliwrath,1,common,0.025,34,51,Swamp,,any,rain,,grounded,Natural,,,8,15,,
0062,Poliwrath,2,common,0.025,34,51,Swamp,,any,any,,submerged,Water,minecraft:lily_pad,,,,TRUE,
0062,Poliwrath,3,common,0.015,34,51,"Freshwater, Hills, Jungle, Magical, Mushroom, Temperate","Freezing, Swamp",any,rain,,grounded,Natural,minecraft:water,,8,15,,
0062,Poliwrath,4,common,0.015,34,51,"Freshwater, Hills, Jungle, Magical, Mushroom, Temperate","Freezing, Swamp",any,any,,submerged,Water,,,,,TRUE,
0062,Poliwrath,5,common,0.005,34,51,Lush,,any,any,,grounded,Natural,,"structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9",0,7,,
0062,Poliwrath,6,common,0.015,34,51,Lush,,any,any,,submerged,Water,,"structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9",0,7,,
